time,frame_id,force.x,force.y,force.z,torque.x,torque.y,torque.z
22:04:46,robotiq_force_torque_frame_id,2.67,-1.46,-0.26,0.086,-0.12,-0.02
22:04:46,robotiq_force_torque_frame_id,3.41,-0.16,-0.06,0.037,-0.102,-0.025
22:04:46,robotiq_force_torque_frame_id,4.06,-0.1,-1.06,0.054,-0.096,-0.023
22:04:47,robotiq_force_torque_frame_id,3.8,-0.05,-0.57,0.065,-0.126,-0.013
22:04:47,robotiq_force_torque_frame_id,3.53,-0.38,-0.48,0.081,-0.105,-0.019
22:04:47,robotiq_force_torque_frame_id,2.31,-1.5,-0.58,0.062,-0.13,0.015
22:04:47,robotiq_force_torque_frame_id,4.94,-0.11,-0.3,0.063,-0.13,-0.019
22:04:47,robotiq_force_torque_frame_id,3.98,-1.98,-0.24,0.073,-0.146,-0.016
22:04:47,robotiq_force_torque_frame_id,3.02,-2.84,-1.16,0.064,-0.128,-0.022
22:04:47,robotiq_force_torque_frame_id,3.51,-2.65,-0.4,0.058,-0.135,-0.006
22:04:47,robotiq_force_torque_frame_id,4.22,-1.84,-0.31,0.081,-0.125,-0.029
22:04:47,robotiq_force_torque_frame_id,1.81,-2.73,-0.74,0.073,-0.126,-0.05
22:04:47,robotiq_force_torque_frame_id,2.21,-1.95,-0.84,0.071,-0.151,-0.047
22:04:48,robotiq_force_torque_frame_id,2.65,-1.35,-0.88,0.065,-0.121,-0.043
22:04:48,robotiq_force_torque_frame_id,3.1,-0.77,-0.67,0.085,-0.142,-0.052
22:04:48,robotiq_force_torque_frame_id,3.52,-0.92,-0.51,0.075,-0.123,-0.05
22:04:48,robotiq_force_torque_frame_id,4.46,-0.51,-0.07,0.078,-0.136,-0.037
22:04:48,robotiq_force_torque_frame_id,4.21,-0.57,-0.53,0.087,-0.145,-0.032
22:04:48,robotiq_force_torque_frame_id,4.04,-0.57,-0.5,0.081,-0.141,-0.029
22:04:48,robotiq_force_torque_frame_id,2.02,-1.96,-0.46,0.041,-0.133,-0.046
22:04:48,robotiq_force_torque_frame_id,2.37,-1.76,-0.8,0.069,-0.124,-0.03
22:04:48,robotiq_force_torque_frame_id,4.19,-1.61,-1.19,0.062,-0.126,-0.033
22:04:48,robotiq_force_torque_frame_id,2.92,-0.56,-0.42,0.057,-0.138,-0.056
22:04:49,robotiq_force_torque_frame_id,1.69,-1.37,-0.82,0.072,-0.122,-0.09
22:04:49,robotiq_force_torque_frame_id,1.84,-1.78,-0.99,0.076,-0.117,-0.055
